# x_m, y_m, w_tr_right_m, w_tr_left_m,Timestamp
0.0,0.0,1.1,1.1,0.0
0.4107271211582439,-0.0608933713017566,1.1,1.1,0.02
0.8215009710665578,-0.1214749962709466,1.1,1.1,0.04
1.2323195577355863,-0.1817589018325322,1.1,1.1,0.06
1.6431806401773177,-0.2417589489123813,1.1,1.1,0.08
2.054082060403293,-0.3014891644354721,1.1,1.1,0.1
2.465021660425064,-0.3609633263281012,1.1,1.1,0.12
2.8759972822541635,-0.4201954615152628,1.1,1.1,0.14
3.2870067679021355,-0.4791994309228088,1.1,1.1,0.16
3.69804795938053,-0.5379890954765911,1.1,1.1,0.18
4.109118698700873,-0.596578565101143,1.1,1.1,0.2
4.520216827874723,-0.6549815347232221,1.1,1.1,0.22
4.93134027191317,-0.7132121142673616,1.1,1.1,0.24
5.342486706828654,-0.7712840816598743,1.1,1.1,0.26
5.753654057632256,-0.8292114638257064,1.1,1.1,0.28
6.164840166335535,-0.8870081216907577,1.1,1.1,0.3
6.576042957949574,-0.944687916180864,1.1,1.1,0.32
6.987260108486819,-1.002264874221004,1.1,1.1,0.34
7.398489542958368,-1.059752856737045,1.1,1.1,0.36
7.809729103375747,-1.1171657246548543,1.1,1.1,0.38
8.220976714750064,-1.1745173389002852,1.1,1.1,0.4
8.632231049088425,-1.2318157504302811,1.1,1.1,0.42
9.04349185739216,-1.2890639472288592,1.1,1.1,0.44
9.454758724663485,-1.3462645852818156,1.1,1.1,0.46
9.866031401903731,-1.4034204035744862,1.1,1.1,0.48
10.27730955711468,-1.460533975093128,1.1,1.1,0.5
10.688592941297667,-1.5176080388230926,1.1,1.1,0.52
11.099881139454896,-1.5746452507501445,1.1,1.1,0.54
11.511173902587718,-1.6316482668601118,1.1,1.1,0.56
11.922470898697892,-1.688619743138775,1.1,1.1,0.58
12.333771795787206,-1.745562418571486,1.1,1.1,0.6
12.745076344856978,-1.8024790321435955,1.1,1.1,0.62
13.156384130909448,-1.8593720738417745,1.1,1.1,0.64
13.567694904945927,-1.9162443656509447,1.1,1.1,0.66
13.979008334968205,-1.973098563556888,1.1,1.1,0.68
14.390324171977609,-2.029937240545844,1.1,1.1,0.7000000000000001
14.801642000976356,-2.086763218602736,1.1,1.1,0.72
15.212961572965783,-2.1435790707137734,1.1,1.1,0.74
15.624282555947664,-2.2003874528647684,1.1,1.1,0.76
16.035604700923326,-2.257191187040628,1.1,1.1,0.78
16.446927509895442,-2.313992763228038,1.1,1.1,0.8
16.85825089986444,-2.3707950034118728,1.1,1.1,0.8200000000000001
17.269574372833,-2.427600480578422,1.1,1.1,0.84
17.680897762802,-2.4844119337129893,1.1,1.1,0.86
18.09222065477368,-2.5412320188013866,1.1,1.1,0.88
18.50354271674978,-2.598063391829427,1.1,1.1,0.9
18.914863782731217,-2.654908791782429,1.1,1.1,0.92
19.326183354720644,-2.7117706256475245,1.1,1.1,0.9400000000000001
19.737501515717614,-2.768649474421615,1.1,1.1,0.96
20.14881826572214,-2.8255449231069245,1.1,1.1,0.98
20.560133521734645,-2.8824563077069967,1.1,1.1,1.0
20.97144744975426,-2.9393833792231656,1.1,1.1,1.02
21.38275996678142,-2.9963255566585456,1.1,1.1,1.04
21.79407115581568,-3.0532822590162185,1.1,1.1,1.06
22.205381016857046,-3.110253237297551,1.1,1.1,1.08
22.616689549905523,-3.16723782750607,1.1,1.1,1.1
23.0279969209602,-3.224235614644,1.1,1.1,1.12
23.43930296402199,-3.281246100714009,1.1,1.1,1.1400000000000001
23.850607762090437,-3.3382688707183235,1.1,1.1,1.16
24.2619113981651,-3.3953034266595945,1.1,1.1,1.18
24.673213955245533,-3.452349187540938,1.1,1.1,1.2
25.084515267332623,-3.5094058213641155,1.1,1.1,1.22
25.49581550042548,-3.5664727471322584,1.1,1.1,1.24
25.90711465452412,-3.623549466848004,1.1,1.1,1.26
26.318412729628527,-3.680635648513146,1.1,1.1,1.28
26.7297097257387,-3.737730711130784,1.1,1.1,1.3
27.14100580885377,-3.7948341567035873,1.1,1.1,1.32
27.55230081297459,-3.851945570233764,1.1,1.1,1.34
27.9635949041003,-3.909064370724443,1.1,1.1,1.36
28.374888082230907,-3.966190226177389,1.1,1.1,1.3800000000000001
28.78618026436682,-4.0233225555957,1.1,1.1,1.4000000000000001
29.1974716165072,-4.0804609439816,1.1,1.1,1.42
29.60876213865199,-4.137604810338202,1.1,1.1,1.44
30.02005174780168,-4.194753822667288,1.1,1.1,1.46
30.43134060995537,-4.251907399971953,1.1,1.1,1.48
30.842628642113493,-4.3090650442548695,1.1,1.1,1.5
31.253915927275603,-4.366226340518243,1.1,1.1,1.52
31.665202548441275,-4.423390873764315,1.1,1.1,1.54
32.07648842261093,-4.480557979996612,1.1,1.1,1.56
32.48777354978459,-4.53772732721693,1.1,1.1,1.58
32.89905809596137,-4.594898417427922,1.1,1.1,1.6
33.310341978141686,-4.652070669632701,1.1,1.1,1.62
33.7216252793251,-4.709243751833048,1.1,1.1,1.6400000000000001
34.13290799951164,-4.766417166031601,1.1,1.1,1.6600000000000001
34.544190138701296,-4.823590331231502,1.1,1.1,1.68
34.95547177989359,-4.880762832434948,1.1,1.1,1.7
35.36675292308856,-4.937934171644605,1.1,1.1,1.72
35.7780335682862,-4.995103933862715,1.1,1.1,1.74
36.18931371548649,-5.052271538092342,1.1,1.1,1.76
36.60059353068856,-5.109436569335745,1.1,1.1,1.78
37.011872847893294,-5.166598612595131,1.1,1.1,1.8
37.423151833099816,-5.223757086873614,1.1,1.1,1.82
37.834430486308094,-5.280911494173831,1.1,1.1,1.84
38.24570880751816,-5.338061419498023,1.1,1.1,1.86
38.65698679673,-5.395206447848413,1.1,1.1,1.8800000000000001
39.06826453694317,-5.4523459152285625,1.1,1.1,1.9000000000000001
39.479542028157645,-5.509479572639755,1.1,1.1,1.92
39.89081935337305,-5.5666067560856,1.1,1.1,1.94
40.30209642958978,-5.623727050568287,1.1,1.1,1.96
40.71337333980737,-5.6808399580904725,1.1,1.1,1.98
41.12465008402589,-5.737945063654394,1.1,1.1,2.0
41.53592666224525,-5.795042118261388,1.1,1.1,2.02
41.94720324046466,-5.852131370910103,1.1,1.1,2.04
42.35847981868403,-5.909213070599219,1.1,1.1,2.06
42.76975639690342,-5.9662877983256255,1.1,1.1,2.08
43.1810329751228,-6.023355720088429,1.1,1.1,2.1
43.59230971934132,-6.080417250885424,1.1,1.1,2.12
44.00358654655936,-6.137472722714815,1.1,1.1,2.14
44.41486362277608,-6.194522550574408,1.1,1.1,2.16
44.8261408649919,-6.251566983462852,1.1,1.1,2.18
45.23741843920596,-6.30860651937748,1.1,1.1,2.2
45.64869634541824,-6.365641407316971,1.1,1.1,2.22
46.05997466662831,-6.422672062279103,1.1,1.1,2.24
46.47125331983662,-6.479698733262556,1.1,1.1,2.2600000000000002
46.88253247104223,-6.536721918264647,1.1,1.1,2.2800000000000002
47.29381212024519,-6.593741866284054,1.1,1.1,2.3000000000000003
47.70509235044504,-6.650758909318983,1.1,1.1,2.32
48.11637307864223,-6.7077735453667975,1.1,1.1,2.34
48.52765455383542,-6.764786023426163,1.1,1.1,2.36
48.938936610025486,-6.821796675495283,1.1,1.1,2.38
49.35021941321159,-6.87880591657195,1.1,1.1,2.4
49.76150304639325,-6.935814078654399,1.1,1.1,2.42
50.17278742657089,-6.992821493740837,1.1,1.1,2.44
50.58407263674411,-7.049828576829054,1.1,1.1,2.46
50.99535884291199,-7.1068355769177,1.1,1.1,2.48
51.40664596207499,-7.163842992004137,1.1,1.1,2.5
51.81793399423313,-7.220851071087032,1.1,1.1,2.52
52.22922318838504,-7.277860146164588,1.1,1.1,2.54
52.640513378531615,-7.3348706322345985,1.1,1.1,2.56
53.05180464767242,-7.391882944294837,1.1,1.1,2.58
53.46309716180655,-7.448897248344431,1.1,1.1,2.6
53.874390837934506,-7.505914125380266,1.1,1.1,2.62
54.285685842055344,-7.562933741401437,1.1,1.1,2.64
54.6969820911695,-7.619956594405306,1.1,1.1,2.66
55.10827966827658,-7.676982933390523,1.1,1.1,2.68
55.5195786563761,-7.734013090355324,1.1,1.1,2.7
55.93087905546806,-7.79104756329704,1.1,1.1,2.72
56.342180948552055,-7.848086601214337,1.1,1.1,2.74
56.75348441862761,-7.905130536105435,1.1,1.1,2.7600000000000002
57.16478938269516,-7.962179782968142,1.1,1.1,2.7800000000000002
57.57609592375428,-8.019234673800646,1.1,1.1,2.8000000000000003
57.9874042078041,-8.076295540601183,1.1,1.1,2.82
58.398714151845006,-8.133362798367546,1.1,1.1,2.84
58.8100258388766,-8.19043677909794,1.1,1.1,2.86
59.22133926889888,-8.247517814790616,1.1,1.1,2.88
59.632654607910965,-8.304606237443764,1.1,1.1,2.9
60.043971772913245,-8.36170246205519,1.1,1.1,2.92
60.45529084690536,-8.418806820623116,1.1,1.1,2.94
60.86661191288676,-8.475919645145746,1.1,1.1,2.96
61.27793497085756,-8.533041267621332,1.1,1.1,2.98
61.68926002081768,-8.590172103047633,1.1,1.1,3.0
62.10058722876628,-8.647312483422889,1.1,1.1,3.02
62.511916594703294,-8.704462740745301,1.1,1.1,3.04
62.923248118628806,-8.761623290012679,1.1,1.1,3.06
63.33458188354231,-8.81879438022367,1.1,1.1,3.08
63.74591755744561,-8.875975513380945,1.1,1.1,3.1
64.15725431034316,-8.9331644484965,1.1,1.1,3.12
64.56859114624025,-8.990358612584076,1.1,1.1,3.14
64.97992698614266,-9.047555598656558,1.1,1.1,3.16
65.39126091705528,-9.104752750728167,1.1,1.1,3.18
65.802592025983,-9.161947744811313,1.1,1.1,3.2
66.21391923393159,-9.219137924920192,1.1,1.1,3.22
66.62524154490636,-9.276320884067696,1.1,1.1,3.24
67.0365580459122,-9.333494132267154,1.1,1.1,3.2600000000000002
67.4478676579549,-9.390655096532306,1.1,1.1,3.2800000000000002
67.85916955103887,-9.447801286876484,1.1,1.1,3.3000000000000003
68.27046256317038,-9.504930296312558,1.1,1.1,3.3200000000000003
68.6817458643538,-9.562039551854284,1.1,1.1,3.34
69.09301837559495,-9.619126480515424,1.1,1.1,3.36
69.50427910089914,-9.676188758308417,1.1,1.1,3.38
69.91552721027078,-9.733223729247475,1.1,1.1,3.4
70.32676154171614,-9.79022898634545,1.1,1.1,3.42
70.73798118224003,-9.847201956616122,1.1,1.1,3.44
71.14918513584787,-9.904140233072363,1.1,1.1,3.46
71.5603724895445,-9.961041159728374,1.1,1.1,3.48
71.97154216433569,-10.017902412596584,1.1,1.1,3.5
72.38269324722631,-10.07472141869075,1.1,1.1,3.52
72.79382465922211,-10.13149560502466,1.1,1.1,3.54
73.20493548732806,-10.188222564611154,1.1,1.1,3.56
73.61602481854895,-10.244899807463575,1.1,1.1,3.58
74.0270915738906,-10.30152476059567,1.1,1.1,3.6
74.43813475735834,-10.358095017020322,1.1,1.1,3.62
74.84915810393217,-10.414640456577716,1.1,1.1,3.64
75.26018078650957,-10.471295953546436,1.1,1.1,3.66
75.67122488297242,-10.52821721509368,1.1,1.1,3.68
76.08231247120267,-10.585560114385729,1.1,1.1,3.7
76.49346571208173,-10.643480358589752,1.1,1.1,3.72
76.90470676649113,-10.70213373787248,1.1,1.1,3.74
77.31605762931318,-10.7616761254002,1.1,1.1,3.7600000000000002
77.72754054442895,-10.822263311339633,1.1,1.1,3.7800000000000002
78.13917758972032,-10.884051085857545,1.1,1.1,3.8000000000000003
78.55099092606874,-10.947195156121056,1.1,1.1,3.8200000000000003
78.96300254835663,-11.011851395296503,1.1,1.1,3.84
79.37523470046499,-11.078175593550592,1.1,1.1,3.86
79.78770954327524,-11.146323541050055,1.1,1.1,3.88
80.19932575567803,-11.218124299011851,1.1,1.1,3.9
80.58141412901536,-11.336469216024543,1.1,1.1,3.92
80.8772240488272,-11.58320822130027,1.1,1.1,3.94
81.04039951605633,-11.955187580707316,1.1,1.1,3.96
81.0560851871589,-12.369566101335447,1.1,1.1,3.98
81.00757651161554,-12.789243064623994,1.1,1.1,4.0
80.96463287330668,-13.203039426365896,1.1,1.1,4.0200000000000005
80.92809099075696,-13.615285771398336,1.1,1.1,4.04
80.894705083327,-14.027923044339806,1.1,1.1,4.0600000000000005
80.86223582299418,-14.440872561611206,1.1,1.1,4.08
80.82845350968448,-14.854035885739023,1.1,1.1,4.1
80.7911285263233,-15.267314745248871,1.1,1.1,4.12
80.7480311728366,-15.68061086866638,1.1,1.1,4.14
80.69700113677916,-16.093826316515415,1.1,1.1,4.16
